order_id,order_date,revenue,is_new_customer,sku,utm_source
TC100001,2026-07-16,74.36,true,TC-TEE-CREW,facebook
TC100002,2026-07-16,75.63,true,TC-TEE-CREW,facebook
TC100003,2026-07-16,87.25,true,TC-TEE-CREW,instagram
TC100004,2026-07-16,85.75,true,TC-TEE-CREW,instagram
TC100005,2026-07-16,60.21,true,TC-TEE-CREW,meta
TC100006,2026-07-16,68.90,true,TC-TEE-CREW,meta
TC100007,2026-07-16,67.12,true,TC-TEE-CREW,facebook
TC100008,2026-07-16,56.68,true,TC-TEE-CREW,facebook
TC100009,2026-07-16,78.41,true,TC-TEE-CREW,
TC100010,2026-07-16,85.80,true,TC-TEE-CREW,
TC100011,2026-07-16,72.12,true,TC-TEE-CREW,facebook
TC100012,2026-07-16,83.27,true,TC-TEE-CREW,instagram
TC100013,2026-07-16,86.19,true,TC-TEE-CREW,facebook
TC100014,2026-07-16,77.57,true,TC-TEE-CREW,facebook
TC100015,2026-07-16,88.49,true,TC-TEE-CREW,
TC100016,2026-07-16,59.34,true,TC-TEE-CREW,
TC100017,2026-07-16,66.90,true,TC-TEE-CREW,meta
TC100018,2026-07-16,66.01,true,TC-TEE-CREW,facebook
TC100019,2026-07-16,70.95,true,TC-TEE-CREW,meta
TC100020,2026-07-16,67.88,true,TC-TEE-CREW,meta
TC100021,2026-07-16,63.21,true,TC-TEE-CREW,instagram
TC100022,2026-07-16,84.93,true,TC-TEE-CREW,facebook
TC100023,2026-07-16,73.50,true,TC-TEE-CREW,instagram
TC100024,2026-07-16,75.51,true,TC-TEE-CREW,
TC100025,2026-07-16,79.04,true,TC-TEE-CREW,instagram
TC100026,2026-07-16,62.71,true,TC-TEE-CREW,instagram
TC100027,2026-07-16,67.33,true,TC-TEE-CREW,
TC100028,2026-07-16,75.61,true,TC-TEE-CREW,instagram
TC100029,2026-07-16,67.43,true,TC-TEE-CREW,
TC100030,2026-07-16,81.13,true,TC-TEE-CREW,
TC100031,2026-07-16,62.54,true,TC-TEE-CREW,facebook
TC100032,2026-07-16,63.94,true,TC-TEE-CREW,meta
TC100033,2026-07-16,77.22,true,TC-TEE-CREW,instagram
TC100034,2026-07-16,67.56,true,TC-TEE-CREW,meta
TC100035,2026-07-16,62.07,true,TC-TEE-CREW,instagram
TC100036,2026-07-16,63.90,true,TC-TEE-CREW,
TC100037,2026-07-16,86.82,true,TC-TEE-CREW,facebook
TC100038,2026-07-16,80.92,true,TC-TEE-CREW,instagram
TC100039,2026-07-16,65.57,true,TC-TEE-CREW,facebook
TC100040,2026-07-16,56.73,true,TC-TEE-CREW,facebook
TC100041,2026-07-16,69.32,false,TC-TEE-CREW,instagram
TC100042,2026-07-16,67.37,false,TC-TEE-CREW,instagram
TC100043,2026-07-16,86.79,false,TC-TEE-CREW,facebook
TC100044,2026-07-16,70.31,false,TC-TEE-CREW,meta
TC100045,2026-07-16,71.03,false,TC-TEE-CREW,instagram
TC100046,2026-07-16,64.67,false,TC-TEE-CREW,meta
TC100047,2026-07-16,75.81,false,TC-TEE-CREW,
TC100048,2026-07-16,64.04,false,TC-TEE-CREW,
TC100049,2026-07-16,86.16,false,TC-TEE-CREW,instagram
TC100050,2026-07-16,57.63,false,TC-TEE-CREW,meta
TC100051,2026-07-16,89.75,false,TC-TEE-CREW,instagram
TC100052,2026-07-16,91.78,true,TC-TEE-CREW,meta
TC100053,2026-07-16,60.95,true,TC-TEE-CREW,
TC100054,2026-07-16,86.31,true,TC-TEE-CREW,instagram
TC100055,2026-07-16,86.12,true,TC-TEE-CREW,
TC100056,2026-07-16,57.17,true,TC-TEE-CREW,
TC100057,2026-07-16,77.24,false,TC-TEE-CREW,
TC100058,2026-07-16,78.33,false,TC-TEE-CREW,facebook
TC100059,2026-07-16,62.70,false,TC-TEE-CREW,meta
TC100060,2026-07-16,60.49,false,TC-TEE-CREW,meta
TC100061,2026-07-16,82.43,false,TC-TEE-CREW,facebook
TC100062,2026-07-16,61.19,false,TC-TEE-CREW,instagram
TC100063,2026-07-16,64.97,false,TC-TEE-CREW,
TC100064,2026-07-16,60.22,false,TC-TEE-CREW,facebook
TC100065,2026-07-16,60.25,false,TC-TEE-CREW,meta
TC100066,2026-07-16,55.41,false,TC-TEE-CREW,meta
TC100067,2026-07-16,90.08,false,TC-TEE-CREW,facebook
TC100068,2026-07-16,63.49,false,TC-TEE-CREW,instagram
TC100069,2026-07-16,75.67,false,TC-TEE-CREW,instagram
TC100070,2026-07-16,70.75,false,TC-TEE-CREW,meta
TC100071,2026-07-16,127.97,false,TC-TEE-CREW,facebook
TC100072,2026-07-16,76.40,true,TC-TEE-CREW,instagram
TC100073,2026-07-16,84.19,true,TC-TEE-CREW,facebook
TC100074,2026-07-16,59.02,true,TC-TEE-CREW,
TC100075,2026-07-16,85.55,true,TC-TEE-CREW,instagram
TC100076,2026-07-16,54.65,true,TC-TEE-CREW,
TC100077,2026-07-16,58.52,true,TC-TEE-CREW,
TC100078,2026-07-16,61.87,true,TC-TEE-CREW,facebook
TC100079,2026-07-16,55.92,true,TC-TEE-CREW,facebook
TC100080,2026-07-16,78.74,false,TC-TEE-CREW,instagram
TC100081,2026-07-16,85.25,false,TC-TEE-CREW,meta
TC100082,2026-07-16,75.88,true,TC-UND-BOXER,meta
TC100083,2026-07-16,74.46,true,TC-UND-BOXER,instagram
TC100084,2026-07-16,55.65,true,TC-UND-BOXER,
TC100085,2026-07-16,82.84,true,TC-UND-BOXER,
TC100086,2026-07-16,67.15,true,TC-UND-BOXER,instagram
TC100087,2026-07-16,76.93,true,TC-UND-BOXER,instagram
TC100088,2026-07-16,60.83,false,TC-UND-BOXER,facebook
TC100089,2026-07-16,61.89,true,TC-MIXED,facebook
TC100090,2026-07-16,82.30,false,TC-UNKNOWN-CLEARANCE,meta
TC100091,2026-07-16,71.43,false,TC-MIXED,meta
TC100092,2026-07-16,72.49,false,TC-MIXED,
TC100093,2026-07-16,56.06,false,TC-MIXED,facebook
TC100094,2026-07-16,71.07,false,TC-MIXED,facebook
TC100095,2026-07-16,55.39,false,TC-MIXED,
TC100096,2026-07-16,84.21,false,TC-MIXED,
TC100097,2026-07-16,78.21,false,TC-MIXED,instagram
TC100098,2026-07-16,71.49,false,TC-MIXED,
TC100099,2026-07-16,75.88,false,TC-MIXED,facebook
TC100100,2026-07-16,58.14,false,TC-MIXED,
TC100101,2026-07-16,61.87,false,TC-MIXED,meta
TC100102,2026-07-16,85.54,false,TC-MIXED,facebook
TC100103,2026-07-16,84.78,true,TC-TEE-CREW,google
TC100104,2026-07-16,83.52,true,TC-TEE-CREW,
TC100105,2026-07-16,63.53,true,TC-TEE-CREW,google_ads
TC100106,2026-07-16,63.10,true,TC-TEE-CREW,cpc
TC100107,2026-07-16,67.28,true,TC-TEE-CREW,
TC100108,2026-07-16,59.34,true,TC-TEE-CREW,google
TC100109,2026-07-16,79.87,true,TC-TEE-CREW,
TC100110,2026-07-16,76.98,true,TC-TEE-CREW,google_ads
TC100111,2026-07-16,77.09,true,TC-TEE-CREW,google_ads
TC100112,2026-07-16,61.83,true,TC-TEE-CREW,google_ads
TC100113,2026-07-16,84.51,true,TC-TEE-CREW,
TC100114,2026-07-16,85.81,true,TC-TEE-CREW,cpc
TC100115,2026-07-16,77.95,true,TC-TEE-CREW,google_ads
TC100116,2026-07-16,58.91,true,TC-TEE-CREW,cpc
TC100117,2026-07-16,56.86,true,TC-TEE-CREW,
TC100118,2026-07-16,76.29,true,TC-TEE-CREW,google
TC100119,2026-07-16,65.46,true,TC-TEE-CREW,cpc
TC100120,2026-07-16,57.42,true,TC-TEE-CREW,cpc
TC100121,2026-07-16,62.35,true,TC-TEE-CREW,
TC100122,2026-07-16,71.75,true,TC-TEE-CREW,
TC100123,2026-07-16,57.94,true,TC-TEE-CREW,google_ads
TC100124,2026-07-16,79.51,true,TC-TEE-CREW,cpc
TC100125,2026-07-16,62.14,true,TC-TEE-CREW,google
TC100126,2026-07-16,88.38,true,TC-TEE-CREW,
TC100127,2026-07-16,82.94,true,TC-TEE-CREW,
TC100128,2026-07-16,62.96,true,TC-TEE-CREW,google
TC100129,2026-07-16,76.26,true,TC-TEE-CREW,google_ads
TC100130,2026-07-16,86.99,true,TC-TEE-CREW,
TC100131,2026-07-16,87.54,true,TC-TEE-CREW,google_ads
TC100132,2026-07-16,79.12,true,TC-TEE-CREW,google_ads
TC100133,2026-07-16,56.01,true,TC-TEE-CREW,
TC100134,2026-07-16,63.50,true,TC-TEE-CREW,cpc
TC100135,2026-07-16,59.06,true,TC-TEE-CREW,
TC100136,2026-07-16,81.14,true,TC-TEE-CREW,
TC100137,2026-07-16,73.92,false,TC-TEE-CREW,cpc
TC100138,2026-07-16,63.30,false,TC-TEE-CREW,google_ads
TC100139,2026-07-16,69.67,false,TC-TEE-CREW,google_ads
TC100140,2026-07-16,77.17,false,TC-TEE-CREW,
TC100141,2026-07-16,79.80,false,TC-TEE-CREW,google
TC100142,2026-07-16,83.84,false,TC-TEE-CREW,google_ads
TC100143,2026-07-16,65.91,false,TC-TEE-CREW,google_ads
TC100144,2026-07-16,84.37,false,TC-TEE-CREW,google
TC100145,2026-07-16,81.80,false,TC-TEE-CREW,cpc
TC100146,2026-07-16,80.04,false,TC-TEE-CREW,
TC100147,2026-07-16,83.38,false,TC-TEE-CREW,google
TC100148,2026-07-16,78.46,false,TC-TEE-CREW,
TC100149,2026-07-16,72.44,false,TC-TEE-CREW,
TC100150,2026-07-16,72.69,false,TC-TEE-CREW,cpc
TC100151,2026-07-16,63.08,false,TC-TEE-CREW,
TC100152,2026-07-16,81.90,false,TC-TEE-CREW,google
TC100153,2026-07-16,57.53,false,TC-TEE-CREW,google
TC100154,2026-07-16,73.32,false,TC-TEE-CREW,cpc
TC100155,2026-07-16,57.16,false,TC-TEE-CREW,google
TC100156,2026-07-16,68.72,false,TC-TEE-CREW,
TC100157,2026-07-16,80.70,false,TC-TEE-CREW,google
TC100158,2026-07-16,76.30,false,TC-TEE-CREW,cpc
TC100159,2026-07-16,72.15,false,TC-TEE-CREW,google_ads
TC100160,2026-07-16,79.56,false,TC-TEE-CREW,cpc
TC100161,2026-07-16,64.35,false,TC-TEE-CREW,cpc
TC100162,2026-07-16,82.09,false,TC-TEE-CREW,google
TC100163,2026-07-16,86.71,false,TC-TEE-CREW,google
TC100164,2026-07-16,81.72,false,TC-TEE-CREW,
TC100165,2026-07-16,75.80,false,TC-TEE-CREW,
TC100166,2026-07-16,80.44,false,TC-TEE-CREW,
TC100167,2026-07-16,64.90,false,TC-TEE-CREW,google_ads
TC100168,2026-07-16,75.28,false,TC-TEE-CREW,google
TC100169,2026-07-16,87.71,false,TC-TEE-CREW,
TC100170,2026-07-16,64.69,false,TC-TEE-CREW,
TC100171,2026-07-16,72.42,false,TC-TEE-CREW,
TC100172,2026-07-16,87.38,false,TC-TEE-CREW,
TC100173,2026-07-16,56.28,false,TC-TEE-CREW,google
TC100174,2026-07-16,77.55,false,TC-TEE-CREW,google
TC100175,2026-07-16,66.13,false,TC-TEE-CREW,
TC100176,2026-07-16,54.61,false,TC-TEE-CREW,
TC100177,2026-07-16,66.54,false,TC-TEE-CREW,google
TC100178,2026-07-16,47.42,false,TC-TEE-CREW,google
TC100179,2026-07-16,5.27,false,TC-TEE-CREW,cpc
TC100180,2026-07-16,89.10,true,TC-TEE-CREW,google
TC100181,2026-07-16,57.98,true,TC-TEE-CREW,cpc
